step 0, validation loss: 10.9695
hellaswag: 274/1000 = 27.40%
step 0, loss: 10.967782, lr: 6.0000e-06, norm: 9.8172, dt: 13868.64ms, tokens_sec: 37803.84hz
step 1, loss: 10.823147, lr: 1.2000e-05, norm: 9.3647, dt: 583.56ms, tokens_sec: 898431.44hz
step 2, loss: 10.558655, lr: 1.8000e-05, norm: 9.4464, dt: 588.22ms, tokens_sec: 891306.81hz
step 3, loss: 10.232573, lr: 2.4000e-05, norm: 7.4481, dt: 586.18ms, tokens_sec: 894413.64hz
step 4, loss: 9.983524, lr: 3.0000e-05, norm: 4.9149, dt: 591.75ms, tokens_sec: 885989.13hz
step 5, loss: 9.811205, lr: 3.6000e-05, norm: 3.7527, dt: 588.10ms, tokens_sec: 891492.18hz
step 6, loss: 9.696619, lr: 4.2000e-05, norm: 2.9378, dt: 588.95ms, tokens_sec: 890201.99hz
step 7, loss: 9.619678, lr: 4.8000e-05, norm: 2.5509, dt: 588.89ms, tokens_sec: 890294.62hz
step 8, loss: 9.545293, lr: 5.4000e-05, norm: 2.3804, dt: 592.85ms, tokens_sec: 884348.70hz
step 9, loss: 9.516471, lr: 6.0000e-05, norm: 2.4043, dt: 588.27ms, tokens_sec: 891234.93hz
step 10, loss: 9.456062, lr: 6.6000e-05, norm: 2.3380, dt: 592.31ms, tokens_sec: 885160.68hz
step 11, loss: 9.407627, lr: 7.2000e-05, norm: 2.2412, dt: 588.70ms, tokens_sec: 890584.87hz
step 12, loss: 9.339472, lr: 7.8000e-05, norm: 2.1388, dt: 590.33ms, tokens_sec: 888125.00hz
step 13, loss: 9.265321, lr: 8.4000e-05, norm: 1.9645, dt: 592.56ms, tokens_sec: 884778.18hz
step 14, loss: 9.138290, lr: 9.0000e-05, norm: 1.9332, dt: 586.08ms, tokens_sec: 894564.27hz
step 15, loss: 9.072538, lr: 9.6000e-05, norm: 1.8801, dt: 589.33ms, tokens_sec: 889626.86hz
step 16, loss: 8.996369, lr: 1.0200e-04, norm: 2.2022, dt: 586.71ms, tokens_sec: 893611.12hz
step 17, loss: 8.912195, lr: 1.0800e-04, norm: 2.7601, dt: 591.48ms, tokens_sec: 886404.12hz
step 18, loss: 8.912595, lr: 1.1400e-04, norm: 1.9555, dt: 587.54ms, tokens_sec: 892346.66hz
step 19, loss: 8.831165, lr: 1.2000e-04, norm: 1.8951, dt: 587.03ms, tokens_sec: 893124.42hz
step 20, loss: 8.619333, lr: 1.2600e-04, norm: 2.4618, dt: 588.11ms, tokens_sec: 891480.25hz
